title ,worldwide gross,% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year,decade
The Legend of Tarzan,356700357,198%,2,180,127,35.50%,230,64.50%,2016,2010's
The Lego Batman Movie,312136671,390%,3.9,80,176,56.40%,136,43.60%,2017,2010's
The Lego Movie,468266122,720%,7.2,65,258,55.10%,210,44.90%,2014,2010's
The Lion King,1663250487,640%,6.4,260,544,32.70%,1120,67.30%,2019,2010's
The Lion King,1063611805,2364%,23.6,45,423,39.80%,641,60.20%,1994,1990's
"The Lion, the Witch and the Wardrobe",745013115,414%,4.1,180,292,39.20%,453,60.80%,2005,2000's
The Lorax,349183316,499%,5,70,214,61.40%,135,38.60%,2012,2010's
The Lost World: Jurassic Park,618638999,847%,8.5,73,229,37.00%,390,63.00%,1997,1990's
The Martian,630620818,584%,5.8,108,228,36.20%,402,63.80%,2015,2010's
The Mask,351583407,1953%,19.5,18,120,34.10%,232,65.90%,1994,1990's
The Matrix,467222728,742%,7.4,63,172,36.80%,295,63.20%,1999,1990's
The Matrix Reloaded,741847937,495%,4.9,150,282,38.00%,460,62.00%,2003,2000's
The Matrix Revolutions,427344325,285%,2.8,150,139,32.60%,288,67.40%,2003,2000's
The Maze Runner,348319861,1024%,10.2,34,102,29.40%,246,70.60%,2014,2010's
The Meg,530517320,298%,3,178,146,27.40%,385,72.60%,2018,2010's
The Mummy,415933406,520%,5.2,80,155,37.40%,261,62.60%,1999,1990's
The Mummy,409231607,512%,5.1,80,80,19.60%,329,80.40%,2017,2010's
The Mummy Returns,443280904,452%,4.5,98,202,45.60%,241,54.40%,2001,2000's
The Mummy: Tomb of the Dragon Emperor,403449830,278%,2.8,145,102,25.40%,301,74.60%,2008,2000's
The Nun,365582797,1662%,16.6,22,117,32.10%,248,67.90%,2018,2010's
The Passion of the Christ,612054506,2040%,20.4,30,371,60.60%,241,39.40%,2004,2000's
The Perfect Storm,328718434,274%,2.7,120,183,55.60%,146,44.40%,2000,2000's
The Phantom Menace,1027082707,893%,8.9,115,475,46.20%,553,53.80%,1999,1990's
The Polar Express,315249768,185%,1.9,170,189,59.90%,126,40.10%,2004,2000's
The Proposal,317375031,793%,7.9,40,164,51.70%,153,48.30%,2009,2000's
The Purge,89328627,2978%,29.8,3,64.5,72.20%,24.9,27.80%,2013,2010's
The Purge: Anarchy,110602999,1229%,12.3,9,72,65.10%,38.6,34.90%,2014,2010's
The Purge: Election Year,118416945,1184%,11.8,10,79,66.70%,39.4,33.30%,2016,2010's
The Revenant,532950503,395%,3.9,135,184,34.50%,349,65.50%,2015,2010's
The Rise of Skywalker,1074149279,391%,3.9,275,515,48.00%,559,52.00%,2019,2010's
The Rock,335062621,447%,4.5,75,134,40.00%,201,60.00%,1996,1990's
The Secret Life of Pets,894328469,1192%,11.9,75,368,41.20%,526,58.80%,2016,2010's
The Secret Life of Pets 2,431058056,575%,5.7,75,159,36.90%,272,63.10%,2019,2010's
The Simpsons Movie,536414293,715%,7.2,75,183,34.10%,353,65.90%,2007,2000's
The Sixth Sense,672806432,1682%,16.8,40,294,43.60%,379,56.40%,1999,1990's
The Smurfs,563749323,512%,5.1,110,143,25.30%,421,74.70%,2011,2010's
The Smurfs 2,347545360,331%,3.3,105,71,20.40%,277,79.60%,2013,2010's
The SpongeBob Movie: Sponge Out of Water,325186032,439%,4.4,74,163,50.10%,162,49.90%,2015,2010's
The Twilight Saga: Eclipse,698509825,1027%,10.3,68,301,43.00%,398,57.00%,2010,2010's
The Visit,90937439,1819%,18.2,5,64.7,71.20%,26.2,28.80%,2015,2010's
The Voyage of the Dawn Treader,415686217,268%,2.7,155,104,25.10%,311,74.90%,2010,2010's
The Witch,40423945,1347%,13.5,3,25.1,62.20%,15.3,37.80%,2016,2010's
The Wolf of Wall Street,406878233,407%,4.1,100,117,28.70%,290,71.30%,2013,2010's
The Wolverine,414828246,314%,3.1,132,133,32.00%,282,68.00%,2013,2010's
The World Is Not Enough,361832400,268%,2.7,135,127,35.10%,235,64.90%,1999,1990's
There's Something About Mary,369884651,1608%,16.1,23,176,47.70%,193,52.30%,1998,1990's
Thor,449326618,300%,3,150,181,40.30%,268,59.70%,2011,2010's
Thor: Love and Thunder,760928081,304%,3,250,343,45.10%,418,54.90%,2022,2020's
Thor: Ragnarok,853983879,474%,4.7,180,315,36.90%,539,63.10%,2017,2010's
Thor: The Dark World,644783140,379%,3.8,170,206,32.00%,438,68.00%,2013,2010's
Titanic,2201647264,1101%,11,200,659,30.00%,1542,70.00%,1997,1990's
Tomorrow Never Dies,333011068,303%,3,110,125,37.60%,208,62.40%,1997,1990's
Top Gun,357288178,2382%,23.8,15,180,50.40%,177,49.60%,1986,1980's
Top Gun: Maverick,1486657763,875%,8.7,170,717,48.20%,770,51.80%,2022,2020's
Toy Story,394436586,1315%,13.1,30,223,56.60%,171,43.40%,1995,1990's
Toy Story 2,497375381,553%,5.5,90,246,49.40%,252,50.60%,1999,1990's
Toy Story 3,1066970811,533%,5.3,200,415,38.90%,652,61.10%,2010,2010's
